,position,company,min_rank,mean_rank,kws_rank,job_count
46,"Registered Nurse, Intensive Care Unit- Royal Columbian Hospital",Fraser Health Authority,0,31.55,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), unit (49), royal (50), columbian (60), intensive (147)",2
47,Mental Health Support Worker,Vancouver Coastal Health,0,31.83,"health (0), vancouver (4), coastal (12), worker (47), support (63), mental (65)",4
48,"Registered Nurse, Medicine - Langley Memorial Hospital",Fraser Health Authority,0,32.0,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), memorial (57), medicine (80), langley (125)",10
49,Social Worker,Fraser Health Authority,0,32.4,"health (0), authority (1), fraser (2), worker (47), social (112)",4
50,Registered Nurse (RN) - Cardiac Medicine,Vancouver Coastal Health,0,32.43,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), medicine (80), cardiac (116)",2
51,Mental Health Emergency Services Nurse (RN/RPN),Vancouver Coastal Health,0,32.5,"health (0), vancouver (4), nurse (5), services (7), coastal (12), mental (65), emergency (81), rpn (86)",2
52,Mental Health Nurse (Registered Nurse (RN) / Registered Psychiatric Nurse (RPN),Vancouver Coastal Health,0,32.5,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), mental (65), psychiatric (78), rpn (86)",2
53,"Director, Clinical Operations (Community & Hospital)",Fraser Health Authority,0,32.62,"health (0), authority (1), fraser (2), hospital (8), community (35), director (48), clinical (79), operations (88)",4
54,Clinical Pharmacy Specialist - Vancouver General Hospital,Fraser Health Authority,0,33.11,"health (0), authority (1), fraser (2), vancouver (4), hospital (8), specialist (24), general (34), clinical (79), pharmacy (146)",2
55,Mental Health Program Assistant,Vancouver Coastal Health,0,33.17,"health (0), vancouver (4), coastal (12), assistant (14), mental (65), program (104)",2
56,Senior Online Engineer,2K,6,34.0,"senior (6), engineer (9), online (87)",2
57,Online Tutor,"Varsity Tutors, a Nerdy Company",19,34.33,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), online (87)",419
58,Social Worker,Vancouver Coastal Health,0,35.0,"health (0), vancouver (4), coastal (12), worker (47), social (112)",36
59,Software Development Engineer - 2025 (Canada),Amazon,9,35.0,"engineer (9), canada (11), software (21), development (33), amazon (101)",2
60,Social Worker I,Vancouver Coastal Health,0,35.0,"health (0), vancouver (4), coastal (12), worker (47), social (112)",4
61,Social Worker 2,Vancouver Coastal Health,0,35.0,"health (0), vancouver (4), coastal (12), worker (47), social (112)",2
62,"Manager, Clinical Operations & Program Services",Fraser Health Authority,0,35.5,"health (0), authority (1), fraser (2), manager (3), services (7), clinical (79), operations (88), program (104)",2
63,Senior Systems Engineer,2K,6,35.67,"senior (6), engineer (9), systems (92)",2
64,Senior Software Engineer,ITjobs.ca,6,35.75,"senior (6), engineer (9), software (21), itjobs (107)",2
65,Pharmacy Technician - Surrey Memorial Hospital,Fraser Health Authority,0,35.88,"health (0), authority (1), fraser (2), hospital (8), technician (28), surrey (45), memorial (57), pharmacy (146)",10
66,"Registered Nurse, Medicine - Delta Hospital",Fraser Health Authority,0,35.88,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), medicine (80), delta (181)",20
67,"Registered Nurse/Registered Psychiatric Nurse, Community Mental Health & Substance Use Services",Fraser Health Authority,0,36.0,"health (0), authority (1), fraser (2), nurse (5), services (7), registered (10), community (35), mental (65), psychiatric (78), use (96), substance (97)",96
68,Pharmacy Technician - Burnaby Hospital,Fraser Health Authority,0,36.14,"health (0), authority (1), fraser (2), hospital (8), technician (28), burnaby (68), pharmacy (146)",2
69,Software Development Engineer - 2025 (Canada),ITjobs.ca,9,36.2,"engineer (9), canada (11), software (21), development (33), itjobs (107)",2
70,Registered Nurse (RN) - Surgical Support Nurse,Vancouver Coastal Health,0,36.29,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), support (63), surgical (160)",6
71,Community Health Nurse - Licensed Practical Nurse,Fraser Health Authority,0,36.29,"health (0), authority (1), fraser (2), nurse (5), community (35), licensed (98), practical (113)",2
72,Registered Nurse (RN) - Cardiac Services Intensive Care Unit,Vancouver Coastal Health,0,36.5,"health (0), vancouver (4), nurse (5), services (7), registered (10), coastal (12), care (15), unit (49), cardiac (116), intensive (147)",2
73,Office Coordinator,Fraser Health Authority,0,36.6,"health (0), authority (1), fraser (2), coordinator (31), office (149)",2
74,"Registered Nurse, Primary Care - Surrey",Fraser Health Authority,0,36.75,"health (0), authority (1), fraser (2), nurse (5), registered (10), care (15), surrey (45), primary (216)",2
75,"Registered Nurse, Primary Care-Surrey",Fraser Health Authority,0,36.75,"health (0), authority (1), fraser (2), nurse (5), registered (10), care (15), surrey (45), primary (216)",2
76,Pharmacy Technician - Royal Columbian Hospital,Fraser Health Authority,0,36.88,"health (0), authority (1), fraser (2), hospital (8), technician (28), royal (50), columbian (60), pharmacy (146)",2
77,"Food Service Worker II, Retail Food Services, C&W",Provincial Health Services Authority,0,36.88,"health (0), authority (1), services (7), provincial (37), service (38), worker (47), retail (70), food (95)",6
78,"Nurse Practitioner, Mental Health and Substance Use",Vancouver Coastal Health,0,36.89,"health (0), vancouver (4), nurse (5), coastal (12), and (13), practitioner (40), mental (65), use (96), substance (97)",2
79,Software Developer,D2L,21,37.0,"software (21), developer (53)",2
80,Family Physician - Community - Surrey,Fraser Health Authority,0,37.0,"health (0), authority (1), fraser (2), community (35), family (36), surrey (45), physician (140)",2
81,Occupational Therapist (Surrey Hospital),Fraser Health Authority,0,37.14,"health (0), authority (1), fraser (2), hospital (8), surrey (45), therapist (69), occupational (135)",1
82,Clinical Pharmacist - Vancouver General Hospital,Fraser Health Authority,0,37.5,"health (0), authority (1), fraser (2), vancouver (4), hospital (8), general (34), clinical (79), pharmacist (172)",10
83,"Family Physician, Vancouver Community",Vancouver Coastal Health,0,37.83,"health (0), vancouver (4), coastal (12), community (35), family (36), physician (140)",2
84,Surgical Assistant,Vancouver Coastal Health,0,38.0,"health (0), vancouver (4), coastal (12), assistant (14), surgical (160)",2
85,Family Physician,Vancouver Coastal Health,0,38.4,"health (0), vancouver (4), coastal (12), family (36), physician (140)",4
86,Maintenance Worker 5,Vancouver Coastal Health,0,38.4,"health (0), vancouver (4), coastal (12), worker (47), maintenance (129)",4
87,"Registered Nurse, Intensive Care Unit - Royal Columbian Hospital - casual",Fraser Health Authority,0,38.5,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), unit (49), royal (50), columbian (60), casual (115), intensive (147)",2
88,"Nurse Practitioner, Emergency - BC Childrenâs Hospital",Provincial Health Services Authority,0,38.56,"health (0), authority (1), nurse (5), services (7), hospital (8), provincial (37), practitioner (40), emergency (81), childrenâ (168)",4
89,"RN/RPN, Mental Health Emergency - Burnaby Hospital",Fraser Health Authority,0,38.88,"health (0), authority (1), fraser (2), hospital (8), mental (65), burnaby (68), emergency (81), rpn (86)",2
90,Physiotherapist - Surrey Memorial Hospital,Fraser Health Authority,0,39.14,"health (0), authority (1), fraser (2), hospital (8), surrey (45), memorial (57), physiotherapist (161)",20
91,Associate Physician Medical Lead,Fraser Health Authority,0,39.29,"health (0), authority (1), fraser (2), associate (18), lead (52), medical (62), physician (140)",2
92,"Administrative Assistant, Clinical Operations - Surrey Memorial Hospital",Fraser Health Authority,0,39.3,"health (0), authority (1), fraser (2), hospital (8), assistant (14), surrey (45), memorial (57), clinical (79), operations (88), administrative (99)",2
93,Senior Software QA Specialist,ITjobs.ca,6,39.5,"senior (6), software (21), specialist (24), itjobs (107)",2
94,Laboratory Assistant,Provincial Health Services Authority,0,39.67,"health (0), authority (1), services (7), assistant (14), provincial (37), laboratory (179)",14
95,Registered Nurse - Surgical Services - Surgical Specialty Unit - Surrey Memorial Hospital,Fraser Health Authority,0,39.75,"health (0), authority (1), fraser (2), nurse (5), services (7), hospital (8), registered (10), surrey (45), unit (49), memorial (57), specialty (133), surgical (160)",20
96,Physiotherapist - Burnaby Hospital,Fraser Health Authority,0,40.0,"health (0), authority (1), fraser (2), hospital (8), burnaby (68), physiotherapist (161)",2
97,Clinical Pharmacy Specialist - Surrey Memorial Hospital,Fraser Health Authority,0,40.22,"health (0), authority (1), fraser (2), hospital (8), specialist (24), surrey (45), memorial (57), clinical (79), pharmacy (146)",4
98,Physiotherapist - Royal Columbian Hospital,Fraser Health Authority,0,40.29,"health (0), authority (1), fraser (2), hospital (8), royal (50), columbian (60), physiotherapist (161)",2
99,Community Occupational Therapist,Fraser Health Authority,0,40.33,"health (0), authority (1), fraser (2), community (35), therapist (69), occupational (135)",4
100,Occupational Therapist - Burnaby Hospital,Fraser Health Authority,0,40.43,"health (0), authority (1), fraser (2), hospital (8), burnaby (68), therapist (69), occupational (135)",4
101,Cook Supervisor,Provincial Health Services Authority,0,40.5,"health (0), authority (1), services (7), supervisor (29), provincial (37), cook (169)",4
102,Occupational Therapist - Royal Columbian Hospital,Fraser Health Authority,0,40.62,"health (0), authority (1), fraser (2), hospital (8), royal (50), columbian (60), therapist (69), occupational (135)",4
103,Occupational Therapist â Royal Columbian Hospital,Fraser Health Authority,0,40.62,"health (0), authority (1), fraser (2), hospital (8), royal (50), columbian (60), therapist (69), occupational (135)",8
104,Registered Nurse - Surgical Services - Surgical Specialty Unit,Fraser Health Authority,0,40.78,"health (0), authority (1), fraser (2), nurse (5), services (7), registered (10), unit (49), specialty (133), surgical (160)",3
105,"Registered Nurse, Rehabilitation - Surrey Memorial Hospital",Fraser Health Authority,0,41.0,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), surrey (45), memorial (57), rehabilitation (241)",2
106,Software Development Engineer,Amazon,9,41.0,"engineer (9), software (21), development (33), amazon (101)",4
107,Senior IT Project Manager,West Fraser,2,41.0,"fraser (2), manager (3), senior (6), project (42), west (152)",2
108,Physiotherapist,Fraser Health Authority,0,41.0,"health (0), authority (1), fraser (2), physiotherapist (161)",46
109,"Software Development Engineer I, 2025",Amazon,9,41.0,"engineer (9), software (21), development (33), amazon (101)",2
110,Clinical Pharmacy Specialist - Royal Columbian Hospital,Fraser Health Authority,0,41.11,"health (0), authority (1), fraser (2), hospital (8), specialist (24), royal (50), columbian (60), clinical (79), pharmacy (146)",4
111,Senior Construction Manager,WSP in Canada,3,41.2,"manager (3), senior (6), canada (11), construction (72), wsp (114)",4
112,"RN/RPN, Substance Use Services",Fraser Health Authority,0,41.29,"health (0), authority (1), fraser (2), services (7), rpn (86), use (96), substance (97)",32
113,"Clinical Coordinator, Community Mental Health & Substance Use Services",Fraser Health Authority,0,41.3,"health (0), authority (1), fraser (2), services (7), coordinator (31), community (35), mental (65), clinical (79), use (96), substance (97)",2
114,Remote College Business Tutor,"Varsity Tutors, a Nerdy Company",19,41.38,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39), business (54), college (119)",1
115,Occupational Therapist,Fraser Health Authority,0,41.4,"health (0), authority (1), fraser (2), therapist (69), occupational (135)",32
116,B&M Consultant Engineer,FM,9,41.5,"engineer (9), consultant (74)",2
117,Emergency Physician-Surrey Memorial Hospital,Fraser Health Authority,0,41.75,"health (0), authority (1), fraser (2), hospital (8), surrey (45), memorial (57), emergency (81), physician (140)",2
118,Mental Health and Substance Use Nurse (RN/RPN),Vancouver Coastal Health,0,42.0,"health (0), vancouver (4), nurse (5), coastal (12), and (13), mental (65), rpn (86), use (96), substance (97)",20
119,"Program Assistant, Home Health",Vancouver Coastal Health,0,42.0,"health (0), vancouver (4), coastal (12), assistant (14), program (104), home (118)",2
120,Clinical Pharmacy Specialist,Fraser Health Authority,0,42.0,"health (0), authority (1), fraser (2), specialist (24), clinical (79), pharmacy (146)",4
121,Mental Health and Substance Use Nurse - Registered Nurse (RN) / Registered Psychiatric Nurse (RPN),Vancouver Coastal Health,0,42.36,"health (0), vancouver (4), nurse (5), registered (10), coastal (12), and (13), mental (65), psychiatric (78), rpn (86), use (96), substance (97)",36
122,"Nurse Practitioner, Cardiac Services - BC Childrenâs Hospital",Provincial Health Services Authority,0,42.44,"health (0), authority (1), nurse (5), services (7), hospital (8), provincial (37), practitioner (40), cardiac (116), childrenâ (168)",2
123,Software Development Engineer,ITjobs.ca,9,42.5,"engineer (9), software (21), development (33), itjobs (107)",2
124,"Software Development Engineer, S3",ITjobs.ca,9,42.5,"engineer (9), software (21), development (33), itjobs (107)",2
125,"Supervisor, Environmental Services",Vancouver Coastal Health,0,42.67,"health (0), vancouver (4), services (7), coastal (12), supervisor (29), environmental (204)",6
126,Emergency Physician - Royal Columbian Hospital,Fraser Health Authority,0,42.75,"health (0), authority (1), fraser (2), hospital (8), royal (50), columbian (60), emergency (81), physician (140)",2
127,Medical Laboratory Assistant,Provincial Health Services Authority,0,42.86,"health (0), authority (1), services (7), assistant (14), provincial (37), medical (62), laboratory (179)",8
128,Emergency Physician - Burnaby Hospital,Fraser Health Authority,0,42.86,"health (0), authority (1), fraser (2), hospital (8), burnaby (68), emergency (81), physician (140)",2
129,"Communications Specialist, Coastal Community of Care",Vancouver Coastal Health,0,43.29,"health (0), vancouver (4), coastal (12), care (15), specialist (24), community (35), communications (213)",2
130,Registered Nurse - Clinician - Surrey Memorial Hospital,Fraser Health Authority,0,43.33,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), surrey (45), memorial (57), clinician (262)",4
131,Registered Nurse - Patient Care Coordinator - Royal Columbian Hospital,Fraser Health Authority,0,43.64,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), coordinator (31), royal (50), columbian (60), patient (298)",2
132,Patient Care Coordinator (Registered Nurse) - Burnaby Hospital,Fraser Health Authority,0,43.8,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), coordinator (31), burnaby (68), patient (298)",16
133,Community Health Nurse (Registered Nurse) - Delta Home Health,Fraser Health Authority,0,44.0,"health (0), authority (1), fraser (2), nurse (5), registered (10), community (35), home (118), delta (181)",8
134,"RN/RPN, Mental Health & Substance Use Services",Fraser Health Authority,0,44.25,"health (0), authority (1), fraser (2), services (7), mental (65), rpn (86), use (96), substance (97)",6
135,Public Health Nurse,Fraser Health Authority,0,44.6,"health (0), authority (1), fraser (2), nurse (5), public (215)",12
136,"Client Services Assistant, Home Health",Fraser Health Authority,0,45.14,"health (0), authority (1), fraser (2), services (7), assistant (14), home (118), client (174)",2
137,Remote Nursing Tutor,"Varsity Tutors, a Nerdy Company",19,45.14,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39), nursing (158)",1
138,"Registered Nurse, Patient Care Coordinator",Fraser Health Authority,0,45.25,"health (0), authority (1), fraser (2), nurse (5), registered (10), care (15), coordinator (31), patient (298)",2
139,"Registered Nurse, Intensive Care Unit (ICU) - Royal Columbian Hospital",Fraser Health Authority,0,45.33,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), care (15), unit (49), royal (50), columbian (60), intensive (147), icu (197)",12
140,"Manager, Clinical Operations & Program Services - Langley",Fraser Health Authority,0,45.44,"health (0), authority (1), fraser (2), manager (3), services (7), clinical (79), operations (88), program (104), langley (125)",2
141,Family Physician / Emergency Physician,Vancouver Coastal Health,0,45.5,"health (0), vancouver (4), coastal (12), family (36), emergency (81), physician (140)",2
142,Clinical Pharmacist - Surrey Memorial Hospital,Fraser Health Authority,0,45.5,"health (0), authority (1), fraser (2), hospital (8), surrey (45), memorial (57), clinical (79), pharmacist (172)",32
143,Software Engineer,ITjobs.ca,9,45.67,"engineer (9), software (21), itjobs (107)",2
144,Remote Electrical Engineering Tutor,"Varsity Tutors, a Nerdy Company",19,45.75,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39), engineering (71), electrical (137)",1
145,Occupational Therapist - Burnaby,Fraser Health Authority,0,45.83,"health (0), authority (1), fraser (2), burnaby (68), therapist (69), occupational (135)",2
146,"shift supervisor - Store# 04464, 49TH & FRASER",Starbucks,2,46.0,"fraser (2), supervisor (29), store (32), starbucks (73), shift (94)",2
147,"Food Service Worker II, Retail Food Services - BC Cancer - Vancouver",Provincial Health Services Authority,0,46.2,"health (0), authority (1), vancouver (4), services (7), provincial (37), service (38), worker (47), retail (70), food (95), cancer (163)",2
148,H&M Sales Advisor,H&M,16,46.5,"sales (16), advisor (77)",18
149,Clinical Pharmacist - Royal Columbian Hospital,Fraser Health Authority,0,46.5,"health (0), authority (1), fraser (2), hospital (8), royal (50), columbian (60), clinical (79), pharmacist (172)",4
150,Senior Software Developer,ITjobs.ca,6,46.75,"senior (6), software (21), developer (53), itjobs (107)",4
151,"Registered Nurse, Primary Care-Langley",Fraser Health Authority,0,46.75,"health (0), authority (1), fraser (2), nurse (5), registered (10), care (15), langley (125), primary (216)",2
152,Communications Specialist,Provincial Health Services Authority,0,47.0,"health (0), authority (1), services (7), specialist (24), provincial (37), communications (213)",2
153,"Engineering Manager, Software Development",ITjobs.ca,3,47.0,"manager (3), software (21), development (33), engineering (71), itjobs (107)",2
154,Clinical Pharmacist - Burnaby Hospital,Fraser Health Authority,0,47.14,"health (0), authority (1), fraser (2), hospital (8), burnaby (68), clinical (79), pharmacist (172)",4
155,Public Health Nurse (RN),Vancouver Coastal Health,0,47.2,"health (0), vancouver (4), nurse (5), coastal (12), public (215)",2
156,Community Health Nurse - Licensed Practical Nurse - Langley,Fraser Health Authority,0,47.38,"health (0), authority (1), fraser (2), nurse (5), community (35), licensed (98), practical (113), langley (125)",2
157,Emergency Physician,Vancouver Coastal Health,0,47.4,"health (0), vancouver (4), coastal (12), emergency (81), physician (140)",12
158,Transition Services Coordinator (Registered Nurse) - Nursing,Vancouver Coastal Health,0,47.44,"health (0), vancouver (4), nurse (5), services (7), registered (10), coastal (12), coordinator (31), nursing (158), transition (200)",2
159,Radiological Technologist - Surrey Memorial Hospital,Fraser Health Authority,0,47.5,"health (0), authority (1), fraser (2), hospital (8), surrey (45), memorial (57), technologist (64), radiological (203)",8
160,Occupational Therapist - Mental Health,Vancouver Coastal Health,0,47.5,"health (0), vancouver (4), coastal (12), mental (65), therapist (69), occupational (135)",2
161,Licensed Practical Nurse Supervisor - Home Support,Fraser Health Authority,0,47.67,"health (0), authority (1), fraser (2), nurse (5), supervisor (29), support (63), licensed (98), practical (113), home (118)",2
162,"Director, Regional Home and Community Care Services",Fraser Health Authority,0,47.7,"health (0), authority (1), fraser (2), services (7), and (13), care (15), community (35), director (48), home (118), regional (238)",4
163,Remote Mechanical Engineering Tutor,"Varsity Tutors, a Nerdy Company",19,47.75,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39), engineering (71), mechanical (153)",1
164,"Unit Clerk, Surgical Services - Royal Columbian Hospital",Fraser Health Authority,0,48.0,"health (0), authority (1), fraser (2), services (7), hospital (8), unit (49), royal (50), columbian (60), clerk (143), surgical (160)",4
165,Nurse Practitioner - New Canadian Clinic,Fraser Health Authority,0,48.0,"health (0), authority (1), fraser (2), nurse (5), practitioner (40), canadian (59), clinic (132), new (145)",2
166,Account Manager II,TD,3,48.0,"manager (3), account (93)",2
167,Pharmacy Technician - BC Cancer - Vancouver,Provincial Health Services Authority,0,48.25,"health (0), authority (1), vancouver (4), services (7), technician (28), provincial (37), pharmacy (146), cancer (163)",20
168,Construction Project Manager,WSP in Canada,3,48.4,"manager (3), canada (11), project (42), construction (72), wsp (114)",4
169,Radiological Technologist - Royal Columbian Hospital,Fraser Health Authority,0,48.5,"health (0), authority (1), fraser (2), hospital (8), royal (50), columbian (60), technologist (64), radiological (203)",4
170,"Medical Coordinator, Primary Care",Vancouver Coastal Health,0,48.57,"health (0), vancouver (4), coastal (12), care (15), coordinator (31), medical (62), primary (216)",2
171,"Registered Nurse, Cardiac Services - Cardiac Stepdown - Royal Columbian Hospital",Fraser Health Authority,0,48.73,"health (0), authority (1), fraser (2), nurse (5), services (7), hospital (8), registered (10), royal (50), columbian (60), cardiac (116), stepdown (277)",2
172,"Registered Nurse, Cardiac Services â Cardiac Stepdown Unit - Royal Columbian Hospital",Fraser Health Authority,0,48.75,"health (0), authority (1), fraser (2), nurse (5), services (7), hospital (8), registered (10), unit (49), royal (50), columbian (60), cardiac (116), stepdown (277)",26
173,Registered Nurse - Internal Medicine - Surrey Memorial Hospital,Fraser Health Authority,0,48.9,"health (0), authority (1), fraser (2), nurse (5), hospital (8), registered (10), surrey (45), memorial (57), medicine (80), internal (281)",3
174,"Project Manager II, Vancouver Acute",Vancouver Coastal Health,0,49.0,"health (0), manager (3), vancouver (4), coastal (12), project (42), acute (233)",2
175,Clinical Pharmacy Specialist - Langley Memorial Hospital,Fraser Health Authority,0,49.11,"health (0), authority (1), fraser (2), hospital (8), specialist (24), memorial (57), clinical (79), langley (125), pharmacy (146)",2
176,"Manager, Clinical Operations, Mental Health & Substance Use",Vancouver Coastal Health,0,49.33,"health (0), manager (3), vancouver (4), coastal (12), mental (65), clinical (79), operations (88), use (96), substance (97)",2
177,Remote Elementary School Tutor,"Varsity Tutors, a Nerdy Company",19,49.38,"company (19), tutor (22), tutors (25), nerdy (26), varsity (27), remote (39), school (46), elementary (191)",2
